,Ссылка,Комнаты,Цена,Цена за метр,Метро,Время до метро(мин),Площадь(м2),Максимальный этаж,Этаж,Тип строения,Тип жилья
0,https://www.cian.ru/sale/flat/301871490/,2,27300000,446078,Полежаевская,17,61.2,27,17,Квартира,Вторичка
1,https://mytishchi.cian.ru/sale/flat/301871465/,3,15400000,215385,Медведково,9,71.5,22,8,Квартира,Новостройка
2,https://khimki.cian.ru/sale/flat/301871438/,2,8050000,180089,Левобережная,9,44.7,5,5,Квартира,Вторичка
3,https://www.cian.ru/sale/flat/301871419/,2,19490000,382157,Багратионовская,7,51,17,3,Квартира,Вторичка
4,https://solnechnogorsk.cian.ru/sale/flat/301871386/,2,7000000,132827,Зеленоград — Крюково,6,52.7,9,7,Квартира,Вторичка
5,https://zhukovsky.cian.ru/sale/flat/301871368/,1,4800000,158940,Ильинская,3,30.2,5,2,Квартира,Вторичка
6,https://www.cian.ru/sale/flat/301871347/,2,23990000,336938,Марьина Роща,5,71.2,7,6,Квартира,Вторичка
7,https://www.cian.ru/sale/flat/301871335/,2,8300000,251515,Бунинская аллея,15,33,14,4,Квартира,Новостройка
8,https://www.cian.ru/sale/flat/301871305/,1,16900000,369803,Матвеевская,13,45.7,23,22,Квартира,Вторичка
9,https://vidnoye.cian.ru/sale/flat/301871295/,2,15550510,264915,Зябликово,10,58.7,15,7,Квартира,Вторичка
10,https://www.cian.ru/sale/flat/301871294/,2,14900000,232449,Щербинка,9,64.1,18,3,Квартира,Вторичка
11,https://balashikha.cian.ru/sale/flat/301871269/,2,6500000,148402,Ольгино,7,43.8,5,3,Квартира,Вторичка
12,https://www.cian.ru/sale/flat/301871115/,1,10750000,294521,Рассказовка,14,36.5,19,2,Квартира,Вторичка
13,https://www.cian.ru/sale/flat/301871099/,5,25500000,259674,Сокольники,15,98.2,5,4,Квартира,Вторичка
14,https://www.cian.ru/sale/flat/301871018/,1,12500000,331565,Аннино,6,37.7,16,6,Квартира,Вторичка
15,https://balashikha.cian.ru/sale/flat/301870982/,1,5300000,165625,Новокосино,15,32,5,3,Квартира,Вторичка
